Data Year,Utility Number,Utility Name,State,County
2014,34,City of Abbeville - (SC),SC,Abbeville
2014,55,City of Aberdeen - (MS),MS,Monroe
2014,59,City of Abbeville - (LA),LA,Vermilion
2014,84,A & N Electric Coop,MD,Somerset
2014,84,A & N Electric Coop,VA,Accomack
2014,84,A & N Electric Coop,VA,Northampton
2014,87,City of Ada - (MN),MN,Norman
2014,97,Adams Electric Coop,IL,Adams
2014,97,Adams Electric Coop,IL,Brown
2014,97,Adams Electric Coop,IL,Schuyler
2014,108,Adams-Columbia Electric Coop,WI,Adams
2014,108,Adams-Columbia Electric Coop,WI,Columbia
2014,108,Adams-Columbia Electric Coop,WI,Dane
2014,108,Adams-Columbia Electric Coop,WI,Dodge
2014,108,Adams-Columbia Electric Coop,WI,Green Lake
2014,108,Adams-Columbia Electric Coop,WI,Jefferson
2014,108,Adams-Columbia Electric Coop,WI,Marquette
2014,108,Adams-Columbia Electric Coop,WI,Portage
2014,108,Adams-Columbia Electric Coop,WI,Sauk
2014,108,Adams-Columbia Electric Coop,WI,Waupaca
2014,108,Adams-Columbia Electric Coop,WI,Waushara
2014,108,Adams-Columbia Electric Coop,WI,Wood
2014,118,"Adams Rural Electric Coop, Inc",OH,Adams
2014,118,"Adams Rural Electric Coop, Inc",OH,Brown
2014,118,"Adams Rural Electric Coop, Inc",OH,Highland
2014,118,"Adams Rural Electric Coop, Inc",OH,Pike
2014,118,"Adams Rural Electric Coop, Inc",OH,Scioto
2014,122,Village of Arcade - (NY),NY,Cattaraugus
2014,122,Village of Arcade - (NY),NY,Erie
2014,122,Village of Arcade - (NY),NY,Wyoming
2014,123,City of Adel- (GA),GA,Cook
2014,123,City of Adel- (GA),GA,Tift
2014,149,City of Afton- (IA),IA,Union
2014,150,Adrian Public Utilities Comm,MN,Nobles
2014,155,Agralite Electric Coop,MN,Big Stone
2014,155,Agralite Electric Coop,MN,Pope
2014,155,Agralite Electric Coop,MN,Stevens
2014,155,Agralite Electric Coop,MN,Swift
2014,157,Town of Advance - (IN),IN,Boone
2014,162,Aiken Electric Coop Inc,SC,Aiken
2014,162,Aiken Electric Coop Inc,SC,Barnwell
2014,162,Aiken Electric Coop Inc,SC,Calhoun
2014,162,Aiken Electric Coop Inc,SC,Edgefield
2014,162,Aiken Electric Coop Inc,SC,Greenwood
2014,162,Aiken Electric Coop Inc,SC,Lexington
2014,162,Aiken Electric Coop Inc,SC,McCormick
2014,162,Aiken Electric Coop Inc,SC,Orangeburg
2014,162,Aiken Electric Coop Inc,SC,Saluda
2014,174,Aitkin Public Utilities Comm,MN,Aitkin
2014,176,Ajo Improvement Co,AZ,Pima
2014,182,City of Akron - (IA),IA,Plymouth
2014,183,Village of Akron - (NY),NY,Erie
2014,191,Alamo Power District No 3,NV,Lincoln
